Extract Name	Protocol REF	Protocol REF	Assay Name	Protocol REF	Data Transformation Name
Extract SenP60.02	labeling	nucleic acid hybridization	SenP60.02 (SNP microarray)	sequence analysis data transformation	SenP60.02 (Sequence Variations)
Extract Thi10.04	labeling	nucleic acid hybridization	Thi10.04 (SNP microarray)	sequence analysis data transformation	Thi10.04 (Sequence Variations)
Extract Thi15.04	labeling	nucleic acid hybridization	Thi15.04 (SNP microarray)	sequence analysis data transformation	Thi15.04 (Sequence Variations)
Extract Thi26.04	labeling	nucleic acid hybridization	Thi26.04 (SNP microarray)	sequence analysis data transformation	Thi26.04 (Sequence Variations)
Extract Thi28.04	labeling	nucleic acid hybridization	Thi28.04 (SNP microarray)	sequence analysis data transformation	Thi28.04 (Sequence Variations)
Extract TD194	labeling	nucleic acid hybridization	TD194 (SNP microarray)	sequence analysis data transformation	TD194 (Sequence Variations)
Extract TD203	labeling	nucleic acid hybridization	TD203 (SNP microarray)	sequence analysis data transformation	TD203 (Sequence Variations)
Extract TD257	labeling	nucleic acid hybridization	TD257 (SNP microarray)	sequence analysis data transformation	TD257 (Sequence Variations)
Extract TM327	labeling	nucleic acid hybridization	TM327 (SNP microarray)	sequence analysis data transformation	TM327 (Sequence Variations)
Extract TM335	labeling	nucleic acid hybridization	TM335 (SNP microarray)	sequence analysis data transformation	TM335 (Sequence Variations)
Extract TM336	labeling	nucleic acid hybridization	TM336 (SNP microarray)	sequence analysis data transformation	TM336 (Sequence Variations)
Extract TM343	labeling	nucleic acid hybridization	TM343 (SNP microarray)	sequence analysis data transformation	TM343 (Sequence Variations)
Extract TM345	labeling	nucleic acid hybridization	TM345 (SNP microarray)	sequence analysis data transformation	TM345 (Sequence Variations)
Extract TM346	labeling	nucleic acid hybridization	TM346 (SNP microarray)	sequence analysis data transformation	TM346 (Sequence Variations)
Extract TM347	labeling	nucleic acid hybridization	TM347 (SNP microarray)	sequence analysis data transformation	TM347 (Sequence Variations)
Extract TM-4C8-2	labeling	nucleic acid hybridization	TM-4C8-2 (SNP microarray)	sequence analysis data transformation	TM-4C8-2 (Sequence Variations)
Extract TM93C1088	labeling	nucleic acid hybridization	TM93C1088 (SNP microarray)	sequence analysis data transformation	TM93C1088 (Sequence Variations)
Extract T116	labeling	nucleic acid hybridization	T116 (SNP microarray)	sequence analysis data transformation	T116 (Sequence Variations)
Extract GA3	labeling	nucleic acid hybridization	GA3 (SNP microarray)	sequence analysis data transformation	GA3 (Sequence Variations)
Extract GH2	labeling	nucleic acid hybridization	GH2 (SNP microarray)	sequence analysis data transformation	GH2 (Sequence Variations)
Extract PR145	labeling	nucleic acid hybridization	PR145 (SNP microarray)	sequence analysis data transformation	PR145 (Sequence Variations)
Extract V5.42.05	labeling	nucleic acid hybridization	V5.42.05 (SNP microarray)	sequence analysis data transformation	V5.42.05 (Sequence Variations)
Extract RO-33	labeling	nucleic acid hybridization	RO-33 (SNP microarray)	sequence analysis data transformation	RO-33 (Sequence Variations)
Extract FCC-2	labeling	nucleic acid hybridization	FCC-2 (SNP microarray)	sequence analysis data transformation	FCC-2 (Sequence Variations)
Extract HB3_1_batch2	labeling	nucleic acid hybridization	HB3_1_batch2 (SNP microarray)	sequence analysis data transformation	HB3_1_batch2 (Sequence Variations)
Extract HB3_2_batch2	labeling	nucleic acid hybridization	HB3_2_batch2 (SNP microarray)	sequence analysis data transformation	HB3_2_batch2 (Sequence Variations)
Extract CF04.008_10B	labeling	nucleic acid hybridization	CF04.008_10B (SNP microarray)	sequence analysis data transformation	CF04.008_10B (Sequence Variations)
Extract CF04.008_1F	labeling	nucleic acid hybridization	CF04.008_1F (SNP microarray)	sequence analysis data transformation	CF04.008_1F (Sequence Variations)
Extract CF04.008_2G	labeling	nucleic acid hybridization	CF04.008_2G (SNP microarray)	sequence analysis data transformation	CF04.008_2G (Sequence Variations)
Extract CF04.008_12G	labeling	nucleic acid hybridization	CF04.008_12G (SNP microarray)	sequence analysis data transformation	CF04.008_12G (Sequence Variations)
Extract CF04.008_7H	labeling	nucleic acid hybridization	CF04.008_7H (SNP microarray)	sequence analysis data transformation	CF04.008_7H (Sequence Variations)
Extract CF04.009_6D	labeling	nucleic acid hybridization	CF04.009_6D (SNP microarray)	sequence analysis data transformation	CF04.009_6D (Sequence Variations)
Extract CF04.010_10B	labeling	nucleic acid hybridization	CF04.010_10B (SNP microarray)	sequence analysis data transformation	CF04.010_10B (Sequence Variations)
Extract T9-94	labeling	nucleic acid hybridization	T9-94 (SNP microarray)	sequence analysis data transformation	T9-94 (Sequence Variations)
Extract TM90C2A	labeling	nucleic acid hybridization	TM90C2A (SNP microarray)	sequence analysis data transformation	TM90C2A (Sequence Variations)
Extract TM90C6A	labeling	nucleic acid hybridization	TM90C6A (SNP microarray)	sequence analysis data transformation	TM90C6A (Sequence Variations)
Extract TM90C6B	labeling	nucleic acid hybridization	TM90C6B (SNP microarray)	sequence analysis data transformation	TM90C6B (Sequence Variations)
Extract TM91C235	labeling	nucleic acid hybridization	TM91C235 (SNP microarray)	sequence analysis data transformation	TM91C235 (Sequence Variations)
Extract 36-89	labeling	nucleic acid hybridization	36-89 (SNP microarray)	sequence analysis data transformation	36-89 (Sequence Variations)
Extract KMWII	labeling	nucleic acid hybridization	KMWII (SNP microarray)	sequence analysis data transformation	KMWII (Sequence Variations)
Extract 330-89	labeling	nucleic acid hybridization	330-89 (SNP microarray)	sequence analysis data transformation	330-89 (Sequence Variations)
Extract 207-89	labeling	nucleic acid hybridization	207-89 (SNP microarray)	sequence analysis data transformation	207-89 (Sequence Variations)
Extract MT_S1	labeling	nucleic acid hybridization	MT_S1 (SNP microarray)	sequence analysis data transformation	MT_S1 (Sequence Variations)
Extract 1054	labeling	nucleic acid hybridization	1054 (SNP microarray)	sequence analysis data transformation	1054 (Sequence Variations)
Extract 51	labeling	nucleic acid hybridization	51 (SNP microarray)	sequence analysis data transformation	51 (Sequence Variations)
Extract 9-411	labeling	nucleic acid hybridization	9-411 (SNP microarray)	sequence analysis data transformation	9-411 (Sequence Variations)
Extract 365_89	labeling	nucleic acid hybridization	365_89 (SNP microarray)	sequence analysis data transformation	365_89 (Sequence Variations)
Extract 608	labeling	nucleic acid hybridization	608 (SNP microarray)	sequence analysis data transformation	608 (Sequence Variations)
Extract 60888	labeling	nucleic acid hybridization	60888 (SNP microarray)	sequence analysis data transformation	60888 (Sequence Variations)
Extract T2_C6	labeling	nucleic acid hybridization	T2_C6 (SNP microarray)	sequence analysis data transformation	T2_C6 (Sequence Variations)
Extract JST	labeling	nucleic acid hybridization	JST (SNP microarray)	sequence analysis data transformation	JST (Sequence Variations)
Extract ADA2	labeling	nucleic acid hybridization	ADA2 (SNP microarray)	sequence analysis data transformation	ADA2 (Sequence Variations)
Extract RAJ116	labeling	nucleic acid hybridization	RAJ116 (SNP microarray)	sequence analysis data transformation	RAJ116 (Sequence Variations)
Extract 87-239	labeling	nucleic acid hybridization	87-239 (SNP microarray)	sequence analysis data transformation	87-239 (Sequence Variations)
Extract JDP8	labeling	nucleic acid hybridization	JDP8 (SNP microarray)	sequence analysis data transformation	JDP8 (Sequence Variations)
Extract IGHCR14	labeling	nucleic acid hybridization	IGHCR14 (SNP microarray)	sequence analysis data transformation	IGHCR14 (Sequence Variations)
Extract 3D7	labeling	nucleic acid hybridization	3D7 (SNP microarray)	sequence analysis data transformation	3D7 (Sequence Variations)
